date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:03	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2013%20Dec%202019%2012:01:58%20GMT	https://stocks-netinstitutesltd.com/robots.txt		(from )
13:30:04	49548/49548	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Sep%202023%2022:18:25%20GMT	https://stocks-netinstitutesltd.com/	/home/emediong/websites/design/stocks-netinstitutesltd.com/index.html	(from )
13:30:04	2663/2663	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Aug%202022%2008:32:18%20GMT	https://stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/apple-touch-icon.png	/home/emediong/websites/design/stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/apple-touch-icon.png	(from https://stocks-netinstitutesltd.com/)
13:30:05	746/746	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Aug%202022%2008:32:18%20GMT	https://stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/favicon-32x32.png	/home/emediong/websites/design/stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/favicon-32x32.png	(from https://stocks-netinstitutesltd.com/)
13:30:07	565/565	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Aug%202022%2008:32:18%20GMT	https://stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/favicon-16x16.png	/home/emediong/websites/design/stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/favicon-16x16.png	(from https://stocks-netinstitutesltd.com/)
13:30:08	426/426	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2008:32:20%20GMT	https://stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/site.html	/home/emediong/websites/design/stocks-netinstitutesltd.com/wp-content/themes/stocknet/assets/img/favicon/site.html	(from https://stocks-netinstitutesltd.com/)
13:30:09	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Mon,%2017%20Oct%202022%2019:30:02%20GMT	https://stocks-netinstitutesltd.com/wp-content/themes/stocknet/favicon.ico	/home/emediong/websites/design/stocks-netinstitutesltd.com/wp-content/themes/stocknet/favicon.ico	(from https://stocks-netinstitutesltd.com/)
13:30:10	2637/2637	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2010:24:22%20GMT	https://stocks-netinstitutesltd.com/use.typekit.net/nwx6adv.css	/home/emediong/websites/design/stocks-netinstitutesltd.com/use.typekit.net/nwx6adv.css	(from https://stocks-netinstitutesltd.com/)
13:30:10	57606/57606	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202023%2016:59:24%20GMT	https://stocks-netinstitutesltd.com/wp-content/themes/stocknet/dist/css/main.minca2a.css?v=1672678765	/home/emediong/websites/design/stocks-netinstitutesltd.com/wp-content/themes/stocknet/dist/css/main.minca2aca2a.css	(from https://stocks-netinstitutesltd.com/)
13:30:11	49548/49548	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Sep%202023%2022:18:25%20GMT	https://stocks-netinstitutesltd.com/index.html	/home/emediong/websites/design/stocks-netinstitutesltd.com/index-2.html	(from https://stocks-netinstitutesltd.com/)
